name;category;scorpan;coverage;producer;postproc;rounded;note;reference
Profile_Curvature2.tif;basic;R;DK;;Anders Bjørn Møller;TRUE;;
S1_2020_1_VH.tif;radar;SO;DK;Sebastian Gutierez;Anders Bjørn Møller;TRUE;;
S1_2020_1_VV.tif;radar;SO;DK;Sebastian Gutierez;Anders Bjørn Møller;TRUE;;
S1_2020_2_VH.tif;radar;SO;DK;Sebastian Gutierez;Anders Bjørn Møller;TRUE;;
S1_2020_2_VV.tif;radar;SO;DK;Sebastian Gutierez;Anders Bjørn Møller;TRUE;;
S1_2020_3_VH.tif;radar;SO;DK;Sebastian Gutierez;Anders Bjørn Møller;TRUE;;
S1_2020_3_VV.tif;radar;SO;DK;Sebastian Gutierez;Anders Bjørn Møller;TRUE;;
S1_2020_4_VH.tif;radar;SO;DK;Sebastian Gutierez;Anders Bjørn Møller;TRUE;;
S1_2020_4_VV.tif;radar;SO;DK;Sebastian Gutierez;Anders Bjørn Møller;TRUE;;
s2.geomedian.20180501.20180731.B11.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180501.20180731.B12.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180501.20180731.B2.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180501.20180731.B3.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;Southern half of Denmark is missing?;
s2.geomedian.20180501.20180731.B4.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180501.20180731.B5.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180501.20180731.B6.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180501.20180731.B7.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180501.20180731.B8.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180501.20180731.B8A.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180521.20180603.B11.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180521.20180603.B12.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180521.20180603.B2.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180521.20180603.B3.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180521.20180603.B4.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180521.20180603.B5.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180521.20180603.B6.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180521.20180603.B7.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180521.20180603.B8A.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180716.20180729.B11.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180716.20180729.B12.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180716.20180729.B2.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180716.20180729.B3.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180716.20180729.B4.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180716.20180729.B5.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180716.20180729.B6.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180716.20180729.B7.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20180716.20180729.B8A.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.20210501.20210731.B11.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;Big NA wedge;
s2.geomedian.20210501.20210731.B12.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;Big NA wedge;
s2.geomedian.20210501.20210731.B2.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;Big NA wedge;
s2.geomedian.20210501.20210731.B3.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;Big NA wedge;
s2.geomedian.20210501.20210731.B4.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;Big NA wedge;
s2.geomedian.20210501.20210731.B5.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;Flat zero;
s2.geomedian.20210501.20210731.B6.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;Big NA wedge;
